NAME : MOCVRP INSTANCE 1
DEPOT_SECTION 1
0.750313 0.325259 0.720000
0.133631 0.409417 0.160000
0.153549 0.936959 0.160000
0.730044 0.284772 0.320000
0.261906 0.676738 0.240000
0.234605 0.387679 0.560000
0.271663 0.196724 0.160000
0.929389 0.185530 0.240000
0.091315 0.686129 0.480000
0.438552 0.958042 0.640000
0.033875 0.401780 0.240000
0.770769 0.124718 0.320000
0.745835 0.795479 0.640000
0.499242 0.367012 0.080000
0.356211 0.877498 0.720000
0.927280 0.837530 0.480000
0.755116 0.391160 0.640000
0.440600 0.849685 0.160000
0.534176 0.412650 0.080000
0.224724 0.602833 0.480000
0.987355 0.023071 0.560000
0.195707 0.492182 0.720000
0.564110 0.793928 0.720000
0.071024 0.302273 0.560000
0.652016 0.014857 0.560000
0.783704 0.944026 0.240000
0.661396 0.092677 0.400000
0.950177 0.541170 0.080000
0.734669 0.327821 0.560000
0.427792 0.333008 0.240000
0.339261 0.085538 0.560000
0.055205 0.497952 0.080000
0.869592 0.319213 0.240000
0.430326 0.670595 0.320000
0.458907 0.334124 0.560000

NAME : MOCVRP INSTANCE 3
DEPOT_SECTION 1
CAPACITY : 1
COORD_DEMAND_SECTION
0.395959 0.869643 0.000000
0.122031 0.601739 0.560000
0.354451 0.111940 0.320000
0.873597 0.774015 0.720000
0.447074 0.446943 0.240000
0.720021 0.838085 0.720000
0.389851 0.212106 0.560000
0.347485 0.212402 0.240000
0.083155 0.490142 0.640000
0.732676 0.564320 0.320000
0.831963 0.155704 0.320000
0.780381 0.410097 0.400000
0.725667 0.702581 0.080000
0.009880 0.458665 0.320000
0.252416 0.223500 0.320000
0.869426 0.378477 0.320000
0.166665 0.339035 0.720000
0.120150 0.506677 0.560000
0.693400 0.432679 0.240000
0.077467 0.811135 0.480000
0.373176 0.094383 0.720000
0.709763 0.102476 0.160000
0.021224 0.935255 0.080000
0.302679 0.378023 0.480000
0.821087 0.863674 0.160000
0.139319 0.198309 0.160000
0.929602 0.831374 0.320000
0.241180 0.361111 0.080000
0.857187 0.820821 0.400000
0.020097 0.955653 0.400000
0.181079 0.984533 0.320000
0.158350 0.216775 0.480000
0.983433 0.004912 0.480000
0.734750 0.827584 0.640000
0.872811 0.826390 0.160000
0.386849 0.390750 0.640000
0.918995 0.638310 0.160000
0.546922 0.722834 0.480000
0.373477 0.111489 0.720000
0.466349 0.174373 0.240000
0.051383 0.340386 0.640000
0.426097 0.797597 0.400000
0.215993 0.448639 0.640000
0.676817 0.637021 0.640000
0.285302 0.577368 0.240000
0.925793 0.783591 0.320000
0.796042 0.289812 0.400000
0.234816 0.723220 0.720000
0.955147 0.205787 0.160000
0.680579 0.421210 0.640000
0.319507 0.578642 0.400000

NAME : MOCVRP INSTANCE 4
DEPOT_SECTION 1
CAPACITY : 1
COORD_DEMAND_SECTION
0.071298 0.633660 0.000000
0.639295 0.528517 0.400000
0.231270 0.033076 0.560000
0.502660 0.556531 0.320000
0.387535 0.680081 0.400000
0.405784 0.705156 0.320000
0.944808 0.128979 0.320000
0.810605 0.405396 0.640000
0.387070 0.819725 0.400000
0.143328 0.932483 0.240000
0.695990 0.017350 0.720000
0.854367 0.386667 0.560000
0.118220 0.286350 0.320000
0.320259 0.719783 0.640000
0.471295 0.230109 0.320000
0.536001 0.936706 0.480000
0.329496 0.123143 0.080000
0.263576 0.443568 0.480000
0.880958 0.567962 0.080000
0.689196 0.727745 0.480000
0.143346 0.385354 0.160000
0.353351 0.738866 0.080000
0.885541 0.318854 0.560000
0.912672 0.100723 0.320000
0.150333 0.019965 0.240000
0.293360 0.911679 0.240000
0.029056 0.439784 0.400000
0.558851 0.422818 0.320000
0.573963 0.329479 0.640000
0.902680 0.862063 0.080000
0.417394 0.763998 0.480000
0.509604 0.131340 0.160000
0.535042 0.076717 0.080000
0.936446 0.561438 0.240000
0.028393 0.452486 0.720000
0.221399 0.957920 0.560000
0.978951 0.741774 0.160000
0.970762 0.796637 0.160000
0.683667 0.309066 0.320000
0.314882 0.663457 0.160000
0.447710 0.314434 0.720000
0.789837 0.122814 0.400000
0.411196 0.334197 0.160000
0.746804 0.427186 0.640000
0.980173 0.624743 0.560000
0.782807 0.128395 0.400000
0.140129 0.730580 0.320000
0.594660 0.196258 0.080000
0.322648 0.434521 0.240000
0.743167 0.699570 0.560000
0.468439 0.214645 0.160000

NAME : MOCVRP INSTANCE 5
DEPOT_SECTION 1
CAPACITY : 1
COORD_DEMAND_SECTION
0.050538 0.746361 0.000000
0.906379 0.077367 0.320000
0.742464 0.159535 0.320000
0.751846 0.796935 0.640000
0.151712 0.791403 0.160000
0.217282 0.963091 0.240000
0.810251 0.249212 0.400000
0.416429 0.354600 0.240000
0.050714 0.580247 0.240000
0.886458 0.122081 0.640000
0.557004 0.382696 0.480000
0.244178 0.334642 0.480000
0.247131 0.546209 0.400000
0.604334 0.148305 0.480000
0.310373 0.349923 0.080000
0.575196 0.385561 0.320000
0.360058 0.619071 0.320000
0.974034 0.080408 0.080000
0.851570 0.505032 0.480000
0.554992 0.613908 0.400000
0.207523 0.654222 0.240000
0.950868 0.965091 0.320000
0.174680 0.528975 0.560000
0.024351 0.924652 0.400000
0.315679 0.526054 0.480000
0.986327 0.617302 0.080000
0.097684 0.502959 0.080000
0.294268 0.795802 0.720000
0.912906 0.724849 0.400000
0.387617 0.627409 0.720000
0.784843 0.491803 0.080000
0.911602 0.723938 0.400000
0.197385 0.168786 0.320000
0.933395 0.018064 0.400000
0.903724 0.136623 0.240000
0.627733 0.962672 0.560000
0.624736 0.671716 0.640000
0.406917 0.784967 0.480000
0.689169 0.103652 0.720000
0.243587 0.295222 0.640000
0.295348 0.420229 0.720000
0.698029 0.239372 0.080000
0.676204 0.218901 0.320000
0.067258 0.183286 0.400000
0.126183 0.410119 0.560000
0.346385 0.265165 0.720000
0.304154 0.577243 0.480000
0.989584 0.831779 0.480000
0.218256 0.295614 0.400000
0.445302 0.558085 0.720000
0.677063 0.060444 0.720000

NAME : MOCVRP INSTANCE 6
DEPOT_SECTION 1
CAPACITY : 1
COORD_DEMAND_SECTION
0.459961 0.613872 0.000000
0.540181 0.005571 0.240000
0.673819 0.981072 0.320000
0.963169 0.237801 0.240000
0.899657 0.064578 0.560000
0.357464 0.364866 0.080000
0.960782 0.859784 0.640000
0.102330 0.606340 0.480000
0.694575 0.510186 0.160000
0.110356 0.473673 0.560000
0.999642 0.729711 0.240000
0.211958 0.768393 0.640000
0.338874 0.741229 0.240000
0.048804 0.154363 0.720000
0.054713 0.119554 0.560000
0.078101 0.435513 0.720000
0.441306 0.244821 0.320000
0.069058 0.390523 0.560000
0.842574 0.531026 0.080000
0.103998 0.070419 0.400000
0.280394 0.784634 0.240000
0.076087 0.375823 0.640000
0.163337 0.386565 0.560000
0.331446 0.877071 0.240000
0.370715 0.288945 0.160000
0.159157 0.154981 0.640000
0.769589 0.629638 0.560000
0.038278 0.414207 0.080000
0.844478 0.352431 0.400000
0.557585 0.121835 0.480000
0.868129 0.031450 0.480000
0.904704 0.652474 0.480000
0.372511 0.786359 0.720000
0.975183 0.742140 0.720000
0.456682 0.466415 0.240000
0.426010 0.705704 0.240000
0.531386 0.387049 0.240000
0.677161 0.671329 0.640000
0.038754 0.019503 0.480000
0.393194 0.388607 0.720000
0.639633 0.060650 0.080000
0.210661 0.479064 0.320000
0.549096 0.014125 0.560000
0.309816 0.977548 0.240000
0.086569 0.413656 0.320000
0.963713 0.278230 0.080000
0.569976 0.887672 0.400000
0.984531 0.287821 0.320000
0.311910 0.031793 0.080000
0.691807 0.072659 0.480000
0.008737 0.423988 0.720000

NAME : MOCVRP INSTANCE 7
DEPOT_SECTION 1
CAPACITY : 1
COORD_DEMAND_SECTION
0.475947 0.325889 0.000000
0.380201 0.348622 0.480000
0.611886 0.973829 0.160000
0.354685 0.382529 0.320000
0.146125 0.678647 0.400000
0.626623 0.438194 0.160000
0.509711 0.548446 0.480000
0.183183 0.753324 0.080000
0.707583 0.449130 0.560000
0.653877 0.912755 0.480000
0.299776 0.360717 0.240000
0.246153 0.433945 0.160000
0.980828 0.789928 0.480000
0.832142 0.918385 0.640000
0.905089 0.401440 0.560000
0.436189 0.519133 0.480000
0.781820 0.329121 0.560000
0.865710 0.581009 0.160000
0.354841 0.974780 0.640000
0.649843 0.802862 0.400000
0.871650 0.769076 0.080000
0.952145 0.966353 0.720000
0.942906 0.899233 0.400000
0.241192 0.578414 0.160000
0.228269 0.506402 0.480000
0.876678 0.156520 0.240000
0.281809 0.675097 0.240000
0.895327 0.407684 0.160000
0.569573 0.406483 0.320000
0.222681 0.437830 0.640000
0.888743 0.339946 0.480000
0.272626 0.885028 0.480000
0.079945 0.298173 0.560000
0.807441 0.856494 0.240000
0.546280 0.287258 0.480000
0.008557 0.696941 0.080000
0.391411 0.067720 0.080000
0.412108 0.446935 0.640000
0.166889 0.608049 0.640000
0.076833 0.973291 0.560000
0.111435 0.502436 0.560000
0.795004 0.854288 0.320000
0.733532 0.075874 0.640000
0.876523 0.510976 0.560000
0.857499 0.661399 0.160000
0.695902 0.978843 0.640000
0.722032 0.956037 0.640000
0.249258 0.239643 0.640000
0.825567 0.445622 0.080000
0.894954 0.837768 0.480000
0.755863 0.926141 0.240000

NAME : MOCVRP INSTANCE 8
DEPOT_SECTION 1
CAPACITY : 1
COORD_DEMAND_SECTION
0.202114 0.860070 0.000000
0.202302 0.176126 0.640000
0.035096 0.354212 0.480000
0.150570 0.215413 0.400000
0.615794 0.122578 0.400000
0.750609 0.665517 0.320000
0.795650 0.918245 0.400000
0.587812 0.177210 0.160000
0.761106 0.878436 0.400000
0.006106 0.939505 0.480000
0.171392 0.876400 0.320000
0.100095 0.723481 0.080000
0.826116 0.856744 0.560000
0.431954 0.205427 0.480000
0.072650 0.397581 0.080000
0.034139 0.672041 0.400000
0.710094 0.948408 0.240000
0.919849 0.847167 0.080000
0.139157 0.444543 0.080000
0.656714 0.692442 0.400000
0.533764 0.294854 0.080000
0.188698 0.111759 0.080000
0.301689 0.092100 0.160000
0.937053 0.257888 0.720000
0.648151 0.726941 0.480000
0.807685 0.305799 0.240000
0.456923 0.900056 0.160000
0.619067 0.719508 0.720000
0.567148 0.048939 0.720000
0.871190 0.630691 0.400000
0.494646 0.280103 0.320000
0.717439 0.599952 0.240000
0.574138 0.334864 0.080000
0.143472 0.376556 0.720000
0.818475 0.054560 0.160000
0.469483 0.947726 0.400000
0.951317 0.095919 0.240000
0.272844 0.610699 0.240000
0.857640 0.200591 0.080000
0.054604 0.704988 0.720000
0.788121 0.766922 0.640000
0.638555 0.389383 0.640000
0.908315 0.777456 0.160000
0.525716 0.882364 0.720000
0.602932 0.597233 0.160000
0.895086 0.643425 0.080000
0.280640 0.559011 0.320000
0.363832 0.035056 0.640000
0.627667 0.799587 0.720000
0.645922 0.369646 0.480000
0.641957 0.503116 0.720000

NAME : MOCVRP INSTANCE 9
DEPOT_SECTION 1
CAPACITY : 1
COORD_DEMAND_SECTION
0.015547 0.662280 0.000000
0.124549 0.643837 0.320000
0.170090 0.079011 0.480000
0.584529 0.775855 0.720000
0.427106 0.147817 0.560000
0.920814 0.795571 0.560000
0.912715 0.243537 0.320000
0.566946 0.884961 0.160000
0.010261 0.927736 0.640000
0.074356 0.173109 0.560000
0.976152 0.930786 0.080000
0.342618 0.014207 0.400000
0.469270 0.581116 0.640000
0.792740 0.398402 0.240000
0.586298 0.573051 0.400000
0.814813 0.137122 0.160000
0.674572 0.852721 0.640000
0.850657 0.946066 0.720000
0.805539 0.894741 0.480000
0.099955 0.921123 0.080000
0.181406 0.637620 0.400000
0.052697 0.477991 0.720000
0.042515 0.376381 0.720000
0.461651 0.465480 0.640000
0.353553 0.669245 0.240000
0.796486 0.844325 0.160000
0.045878 0.607429 0.640000
0.188645 0.522133 0.400000
0.275842 0.965883 0.640000
0.174111 0.171809 0.480000
0.758503 0.896548 0.640000
0.114107 0.425470 0.240000
0.155221 0.907642 0.320000
0.860569 0.155875 0.320000
0.224818 0.586816 0.240000
0.980940 0.147862 0.560000
0.456312 0.578422 0.320000
0.751018 0.640729 0.640000
0.937527 0.517481 0.720000
0.898034 0.366055 0.240000
0.231710 0.307447 0.480000
0.064835 0.356960 0.160000
0.717663 0.786743 0.400000
0.122451 0.405463 0.480000
0.999156 0.970005 0.240000
0.557302 0.760423 0.480000
0.747559 0.804778 0.160000
0.173444 0.920478 0.400000
0.102296 0.682176 0.560000
0.004161 0.835049 0.080000
0.720392 0.772287 0.240000

NAME : MOCVRP INSTANCE 10
DEPOT_SECTION 1
CAPACITY : 1
COORD_DEMAND_SECTION
0.695750 0.488950 0.000000
0.385197 0.561912 0.480000
0.925207 0.806755 0.240000
0.350364 0.845954 0.320000
0.460071 0.065660 0.560000
0.133428 0.506117 0.640000
0.115793 0.516320 0.640000
0.822883 0.018225 0.160000
0.949337 0.033111 0.560000
0.575387 0.559966 0.480000
0.240476 0.904864 0.480000
0.569323 0.933800 0.400000
0.441792 0.791271 0.080000
0.985466 0.514893 0.720000
0.980939 0.379232 0.480000
0.549660 0.499709 0.400000
0.891416 0.800154 0.480000
0.895626 0.711478 0.560000
0.406645 0.793455 0.240000
0.535509 0.417663 0.080000
0.624275 0.470946 0.400000
0.327072 0.482424 0.160000
0.782477 0.549313 0.480000
0.185567 0.857592 0.480000
0.171394 0.866856 0.160000
0.462728 0.925145 0.560000
0.223435 0.839362 0.720000
0.978519 0.048200 0.080000
0.828477 0.404862 0.560000
0.580401 0.302939 0.640000
0.750113 0.795807 0.240000
0.027668 0.086018 0.240000
0.759596 0.178170 0.320000
0.434764 0.680694 0.560000
0.990346 0.449659 0.160000
0.039180 0.520337 0.240000
0.818619 0.133641 0.240000
0.138144 0.614277 0.480000
0.146379 0.244129 0.240000
0.138584 0.798548 0.480000
0.708670 0.823245 0.640000
0.705304 0.468084 0.480000
0.112367 0.582647 0.560000
0.994450 0.060787 0.320000
0.082670 0.607280 0.480000
0.034555 0.097368 0.160000
0.519364 0.206763 0.320000
0.667375 0.289621 0.560000
0.022213 0.970925 0.640000
0.230811 0.981522 0.400000
0.165861 0.733427 0.640000

NAME : MOCVRP INSTANCE 11
DEPOT_SECTION 1
CAPACITY : 1
COORD_DEMAND_SECTION
0.235189 0.367037 0.000000
0.271213 0.829381 0.640000
0.159941 0.891442 0.320000
0.430901 0.169321 0.320000
0.994309 0.174642 0.640000
0.970433 0.167165 0.080000
0.530038 0.996338 0.720000
0.697576 0.072767 0.480000
0.823110 0.779183 0.160000
0.040980 0.438665 0.400000
0.051781 0.723345 0.640000
0.666806 0.606633 0.320000
0.647012 0.006014 0.400000
0.262224 0.715510 0.160000
0.337171 0.659774 0.160000
0.878299 0.355132 0.320000
0.784519 0.048412 0.400000
0.789555 0.658206 0.480000
0.812286 0.828475 0.560000
0.677279 0.993424 0.720000
0.660094 0.086507 0.080000
0.950339 0.666243 0.160000
0.777679 0.649631 0.080000
0.007161 0.337144 0.560000
0.966693 0.753394 0.240000
0.162797 0.877993 0.320000
0.729662 0.405274 0.240000
0.701691 0.467952 0.400000
0.197822 0.355250 0.720000
0.115167 0.951448 0.240000
0.937797 0.432908 0.400000
0.927937 0.445752 0.560000
0.940629 0.577162 0.480000
0.819568 0.582501 0.160000
0.380137 0.912333 0.480000
0.013601 0.218522 0.160000
0.937379 0.825695 0.320000
0.350576 0.103808 0.640000
0.091987 0.583970 0.640000
0.889096 0.958412 0.080000
0.111372 0.019763 0.480000
0.367595 0.444716 0.640000
0.211804 0.973993 0.160000
0.768354 0.981996 0.400000
0.004402 0.944536 0.400000
0.321985 0.711260 0.320000
0.929419 0.041005 0.640000
0.698156 0.957553 0.160000
0.411874 0.007903 0.160000
0.028344 0.687795 0.720000
0.153151 0.695175 0.720000

NAME : MOCVRP INSTANCE 12
DEPOT_SECTION 1
CAPACITY : 1
COORD_DEMAND_SECTION
0.239267 0.119011 0.000000
0.916162 0.713253 0.480000
0.619746 0.998191 0.560000
0.355832 0.671613 0.240000
0.091041 0.933771 0.640000
0.380015 0.927437 0.480000
0.987349 0.858557 0.320000
0.524538 0.094908 0.640000
0.972832 0.204073 0.080000
0.577482 0.990784 0.160000
0.141547 0.947880 0.080000
0.193339 0.219032 0.320000
0.857610 0.052432 0.320000
0.148999 0.645016 0.240000
0.460239 0.667706 0.640000
0.505171 0.127636 0.400000
0.565918 0.746473 0.320000
0.138617 0.272890 0.560000
0.302188 0.219710 0.160000
0.820066 0.833771 0.160000
0.619975 0.368069 0.080000
0.407716 0.627551 0.640000
0.334421 0.415457 0.320000
0.095054 0.351360 0.240000
0.870885 0.343640 0.480000
0.125259 0.754603 0.080000
0.856737 0.619396 0.640000
0.983819 0.470059 0.720000
0.366074 0.008594 0.240000
0.281850 0.447410 0.720000
0.595892 0.259556 0.560000
0.208369 0.865600 0.240000
0.730615 0.914165 0.720000
0.012578 0.610316 0.480000
0.325179 0.653450 0.400000
0.023687 0.977396 0.160000
0.486931 0.060725 0.400000
0.972307 0.453099 0.080000
0.031503 0.318871 0.480000
0.931899 0.643940 0.560000
0.964310 0.237869 0.400000
0.467781 0.722641 0.720000
0.823846 0.148279 0.400000
0.543762 0.724564 0.400000
0.803296 0.025484 0.480000
0.284800 0.737933 0.240000
0.367310 0.788705 0.560000
0.981054 0.348369 0.720000
0.250916 0.223662 0.320000
0.628967 0.238747 0.080000
0.763824 0.461713 0.560000

NAME : MOCVRP INSTANCE 13
DEPOT_SECTION 1
CAPACITY : 1
COORD_DEMAND_SECTION
0.914511 0.470523 0.000000
0.238210 0.903366 0.640000
0.604840 0.211969 0.640000
0.659072 0.204768 0.400000
0.001814 0.938909 0.160000
0.239163 0.768535 0.400000
0.317480 0.448686 0.560000
0.421459 0.208632 0.160000
0.734114 0.800368 0.160000
0.722257 0.432545 0.480000
0.402627 0.762091 0.720000
0.393490 0.993149 0.320000
0.030245 0.077678 0.160000
0.779285 0.460699 0.080000
0.643528 0.929808 0.640000
0.150912 0.983914 0.720000
0.535688 0.232296 0.560000
0.661983 0.300707 0.720000
0.189358 0.635743 0.080000
0.112463 0.730155 0.560000
0.528449 0.392724 0.480000
0.998731 0.188911 0.240000
0.121750 0.665257 0.400000
0.345562 0.083469 0.080000
0.916831 0.186592 0.720000
0.383167 0.784952 0.320000
0.471031 0.295327 0.400000
0.296563 0.245831 0.480000
0.055606 0.335364 0.720000
0.853286 0.324945 0.080000
0.056926 0.702921 0.720000
0.938741 0.222255 0.160000
0.994178 0.681872 0.560000
0.338872 0.941521 0.320000
0.023950 0.608024 0.480000
0.447240 0.609576 0.720000
0.353131 0.203715 0.080000
0.861197 0.707484 0.400000
0.560237 0.439441 0.640000
0.129708 0.228655 0.080000
0.382157 0.327662 0.640000
0.647917 0.455836 0.640000
0.857385 0.947679 0.320000
0.388051 0.733946 0.400000
0.865710 0.854177 0.720000
0.171954 0.160096 0.160000
0.327678 0.179611 0.080000
0.302670 0.093150 0.240000
0.250087 0.549396 0.080000
0.241901 0.899449 0.080000
0.727181 0.025011 0.640000

NAME : MOCVRP INSTANCE 14
DEPOT_SECTION 1
CAPACITY : 1
COORD_DEMAND_SECTION
0.543474 0.976974 0.000000
0.002772 0.917499 0.160000
0.533117 0.759379 0.160000
0.794839 0.978698 0.160000
0.762045 0.686719 0.720000
0.167915 0.283013 0.080000
0.944653 0.182365 0.560000
0.047763 0.880240 0.480000
0.670283 0.352388 0.080000
0.962575 0.447759 0.480000
0.705877 0.376394 0.480000
0.247592 0.328705 0.320000
0.534774 0.487374 0.080000
0.467612 0.508493 0.080000
0.584827 0.664970 0.640000
0.046089 0.789193 0.560000
0.981539 0.680530 0.720000
0.552652 0.848525 0.160000
0.037015 0.617198 0.720000
0.354655 0.902431 0.480000
0.932440 0.392718 0.560000
0.482278 0.045687 0.560000
0.821967 0.668669 0.240000
0.998050 0.318192 0.640000
0.280302 0.706089 0.480000
0.614926 0.031586 0.400000
0.597857 0.696387 0.080000
0.471862 0.773481 0.480000
0.846799 0.766304 0.480000
0.266886 0.247605 0.240000
0.391269 0.512415 0.080000
0.905619 0.409440 0.720000
0.261614 0.676932 0.720000
0.780566 0.928679 0.240000
0.145858 0.493852 0.320000
0.648509 0.819770 0.720000
0.160988 0.538567 0.560000
0.684859 0.613902 0.320000
0.727591 0.720199 0.320000
0.737427 0.818889 0.160000
0.641782 0.406472 0.240000
0.219477 0.233490 0.560000
0.272292 0.137718 0.640000
0.166101 0.686169 0.640000
0.694527 0.654957 0.560000
0.911968 0.188529 0.320000
0.580143 0.867534 0.720000
0.883072 0.000054 0.080000
0.435248 0.745615 0.320000
0.621013 0.550637 0.240000
0.774966 0.615283 0.480000

NAME : MOCVRP INSTANCE 15
DEPOT_SECTION 1
CAPACITY : 1
COORD_DEMAND_SECTION
0.418207 0.204049 0.000000
0.769908 0.459378 0.560000
0.665289 0.617917 0.720000
0.683770 0.077984 0.400000
0.063285 0.730557 0.400000
0.274743 0.018040 0.160000
0.621970 0.512694 0.480000
0.775951 0.932705 0.640000
0.042943 0.666814 0.400000
0.018639 0.238700 0.640000
0.899961 0.120202 0.640000
0.084728 0.003995 0.160000
0.856527 0.648057 0.480000
0.007688 0.044796 0.160000
0.797744 0.161725 0.240000
0.087742 0.450253 0.400000
0.810037 0.036665 0.160000
0.156161 0.728917 0.320000
0.952386 0.526049 0.320000
0.965210 0.798392 0.080000
0.322981 0.399183 0.160000
0.596720 0.188831 0.240000
0.508007 0.997273 0.640000
0.978195 0.367379 0.480000
0.873979 0.566193 0.160000
0.455442 0.335116 0.320000
0.609888 0.213760 0.560000
0.486838 0.028825 0.560000
0.458429 0.593838 0.400000
0.649718 0.547155 0.720000
0.608571 0.794204 0.400000
0.325392 0.141718 0.640000
0.641163 0.744843 0.560000
0.438761 0.776712 0.640000
0.173390 0.458813 0.080000
0.015415 0.813363 0.320000
0.491646 0.354236 0.080000
0.843446 0.543018 0.480000
0.597712 0.055379 0.560000
0.300536 0.178461 0.640000
0.387832 0.902689 0.080000
0.065081 0.837237 0.240000
0.209084 0.213854 0.160000
0.868804 0.610022 0.080000
0.731877 0.307739 0.560000
0.193717 0.427631 0.080000
0.642898 0.115497 0.560000
0.819738 0.290062 0.480000
0.623045 0.760006 0.480000
0.171695 0.016323 0.640000
0.904883 0.918480 0.720000

NAME : MOCVRP INSTANCE 16
DEPOT_SECTION 1
CAPACITY : 1
COORD_DEMAND_SECTION
0.230930 0.253625 0.000000
0.127941 0.552477 0.240000
0.120031 0.385987 0.320000
0.322974 0.058453 0.080000
0.180978 0.603436 0.160000
0.281571 0.861191 0.400000
0.252770 0.995662 0.400000
0.676038 0.312123 0.720000
0.039854 0.531635 0.080000
0.853510 0.610762 0.320000
0.970919 0.560364 0.480000
0.700754 0.007600 0.640000
0.757819 0.510855 0.480000
0.110053 0.108765 0.560000
0.700311 0.220491 0.080000
0.346883 0.493485 0.240000
0.569661 0.138393 0.560000
0.193911 0.788949 0.320000
0.948544 0.721047 0.080000
0.010888 0.293261 0.480000
0.338644 0.021907 0.160000
0.587786 0.563290 0.080000
0.502145 0.088054 0.560000
0.469083 0.403220 0.560000
0.276069 0.449683 0.720000
0.891695 0.332076 0.320000
0.845480 0.031962 0.400000
0.742394 0.907670 0.640000
0.306770 0.174257 0.320000
0.458660 0.615211 0.240000
0.116826 0.578347 0.560000
0.163875 0.660374 0.160000
0.676618 0.394576 0.720000
0.682862 0.862176 0.080000
0.918788 0.285447 0.480000
0.042040 0.105287 0.400000
0.520267 0.053132 0.320000
0.371055 0.566791 0.640000
0.687699 0.052868 0.400000
0.416602 0.472269 0.560000
0.119407 0.816360 0.080000
0.320128 0.066386 0.560000
0.026581 0.323766 0.080000
0.761624 0.763901 0.640000
0.043658 0.236285 0.560000
0.105943 0.557286 0.160000
0.029743 0.664008 0.640000
0.447484 0.782804 0.080000
0.449002 0.246150 0.400000
0.935243 0.444523 0.080000
0.163030 0.847972 0.720000

NAME : MOCVRP INSTANCE 17
DEPOT_SECTION 1
CAPACITY : 1
COORD_DEMAND_SECTION
0.509519 0.087261 0.000000
0.374829 0.918786 0.400000
0.160602 0.323565 0.720000
0.019081 0.599882 0.160000
0.542456 0.004006 0.240000
0.485715 0.254457 0.640000
0.624380 0.139949 0.400000
0.914838 0.326865 0.400000
0.784025 0.114686 0.080000
0.425894 0.029393 0.640000
0.233740 0.410699 0.640000
0.151702 0.937580 0.720000
0.881280 0.187816 0.720000
0.045521 0.480799 0.240000
0.835800 0.682504 0.080000
0.974746 0.351868 0.640000
0.230746 0.446153 0.320000
0.299650 0.207269 0.080000
0.036999 0.285523 0.560000
0.774770 0.948564 0.080000
0.432936 0.672053 0.720000
0.925169 0.482773 0.640000
0.778215 0.220478 0.160000
0.079110 0.504953 0.400000
0.732947 0.056176 0.640000
0.050368 0.529509 0.240000
0.902768 0.325275 0.320000
0.878588 0.950954 0.400000
0.579045 0.267084 0.560000
0.064685 0.145759 0.560000
0.105681 0.765092 0.400000
0.724501 0.882906 0.560000
0.547043 0.481446 0.320000
0.927276 0.889331 0.160000
0.205792 0.323780 0.560000
0.218489 0.624754 0.560000
0.032497 0.642517 0.560000
0.465051 0.334477 0.160000
0.034399 0.115021 0.720000
0.509125 0.078469 0.480000
0.867564 0.877307 0.320000
0.750256 0.173614 0.720000
0.585384 0.655924 0.080000
0.156507 0.546755 0.640000
0.166484 0.575589 0.480000
0.393672 0.632718 0.720000
0.854063 0.776724 0.640000
0.136782 0.824911 0.080000
0.610275 0.674884 0.640000
