MOKP INSTANCE 1
0.023349 0.719704 0.723648
0.023469 0.524317 0.813740
0.037686 0.744989 0.256571
0.040950 0.441559 0.427656
0.028734 0.466143 0.789377
0.047743 0.474256 0.903836
0.003542 0.022500 0.586944
0.005005 0.605311 0.193400
0.031627 0.457556 0.262208
0.025647 0.412389 0.202911
0.048601 0.896430 0.837990
0.014636 0.314119 0.770550
0.037661 0.173142 0.993678
0.049010 0.730620 0.421090
0.043702 0.639409 0.227128
0.073619 0.661085 0.722112
0.067044 0.561770 0.355756
0.052033 0.754236 0.351923
0.002112 0.506318 0.041321
0.014809 0.359831 0.285656
0.030975 0.249949 0.347963
0.040955 0.912952 0.224775
0.004271 0.005719 0.213024
0.001699 0.816820 0.342958
0.018627 0.498914 0.801482

MOKP INSTANCE 3
W E I G H T   V A L U E 1   V A L U E 2
0.012317 0.541991 0.562753
0.028659 0.320066 0.657840
0.017374 0.603700 0.699022
0.038897 0.291935 0.933784
0.067414 0.277404 0.763940
0.042171 0.056556 0.699882
0.015694 0.293269 0.664048
0.029184 0.112198 0.908640
0.016431 0.050873 0.979332
0.044971 0.151378 0.678604
0.036139 0.097777 0.654125
0.079909 0.307947 0.883621
0.051033 0.043933 0.436057
0.041913 0.387092 0.925114
0.032205 0.273588 0.513909
0.055930 0.422211 0.560696
0.044506 0.367006 0.209521
0.049562 0.532337 0.047882
0.054880 0.639635 0.308431
0.013169 0.102933 0.397158
0.051130 0.011029 0.459688
0.001366 0.233145 0.466786
0.066847 0.648513 0.772821
0.033322 0.309567 0.065888
0.010001 0.997341 0.366398
0.054512 0.690609 0.545013
0.022642 0.792000 0.540102
0.055467 0.229069 0.216052
0.046229 0.660806 0.805116
0.064813 0.289472 0.522127
0.049791 0.109478 0.186306
0.076653 0.358178 0.913286
0.071094 0.346266 0.007643
0.042622 0.354539 0.217662
0.073208 0.634293 0.293646
0.078822 0.581175 0.504883
0.023660 0.100582 0.608984
0.059306 0.148315 0.056386
0.011830 0.278165 0.482119
0.045732 0.113591 0.395479
0.002760 0.422907 0.527081
0.051296 0.832497 0.094587
0.077745 0.304463 0.477666
0.073164 0.758353 0.388747
0.012806 0.517748 0.605184
0.077741 0.033914 0.038951
0.074945 0.161673 0.545332
0.035994 0.348487 0.857611
0.040023 0.502519 0.435958
0.017767 0.242542 0.152245

MOKP INSTANCE 4
W E I G H T   V A L U E 1   V A L U E 2
0.047200 0.075996 0.952213
0.014965 0.088388 0.016320
0.061868 0.517213 0.070107
0.076079 0.812298 0.708154
0.059571 0.341764 0.526669
0.008129 0.312678 0.038661
0.004473 0.140708 0.918965
0.059184 0.688616 0.401862
0.060754 0.005475 0.645400
0.023443 0.283083 0.075937
0.001473 0.895057 0.409635
0.026749 0.719437 0.021241
0.044587 0.128279 0.990003
0.009339 0.461270 0.973397
0.049952 0.861798 0.740137
0.004132 0.800591 0.349833
0.061361 0.561174 0.440746
0.036797 0.881284 0.454531
0.065349 0.814030 0.647602
0.003123 0.931010 0.407644
0.051479 0.080838 0.035449
0.062651 0.091998 0.485256
0.055911 0.060540 0.685855
0.049709 0.951041 0.123003
0.055463 0.339551 0.717609
0.009945 0.137153 0.227282
0.011259 0.638231 0.593960
0.079825 0.581332 0.664863
0.005459 0.331778 0.486404
0.017319 0.741146 0.662537
0.000364 0.327377 0.212679
0.014311 0.808025 0.346684
0.030689 0.266338 0.521610
0.058672 0.867184 0.128680
0.056469 0.971786 0.113431
0.078926 0.724768 0.935477
0.019065 0.316288 0.754909
0.013122 0.941209 0.121132
0.000393 0.841707 0.617695
0.065843 0.733566 0.818655
0.058742 0.144881 0.155917
0.025891 0.851526 0.070001
0.045400 0.072865 0.771462
0.010797 0.485477 0.555786
0.026070 0.295160 0.631076
0.004541 0.716360 0.138546
0.076080 0.302748 0.650631
0.067612 0.266561 0.505136
0.013264 0.663929 0.581684
0.024199 0.111177 0.568380

MOKP INSTANCE 5
W E I G H T   V A L U E 1   V A L U E 2
0.019151 0.628615 0.938267
0.023627 0.715731 0.115405
0.050058 0.591806 0.427609
0.010565 0.310815 0.623320
0.076360 0.417163 0.241986
0.032784 0.933467 0.474230
0.071371 0.347409 0.206651
0.010815 0.967907 0.106070
0.012188 0.073502 0.977666
0.079507 0.191960 0.187264
0.031645 0.820970 0.423269
0.033532 0.260213 0.780277
0.062086 0.867927 0.642004
0.012564 0.904593 0.912345
0.014522 0.477868 0.306258
0.070961 0.060754 0.965609
0.027401 0.669212 0.706042
0.011269 0.018393 0.119217
0.062985 0.498880 0.128770
0.046058 0.619180 0.126800
0.026235 0.109698 0.256605
0.069748 0.738825 0.443880
0.053358 0.979598 0.194334
0.049656 0.001913 0.478546
0.057179 0.170552 0.063743
0.077231 0.532846 0.100827
0.065279 0.672201 0.891768
0.007997 0.649122 0.624047
0.046716 0.962108 0.187826
0.041830 0.139246 0.576246
0.031148 0.426810 0.470925
0.062240 0.865472 0.262316
0.011130 0.680993 0.382062
0.028338 0.625083 0.133418
0.062524 0.172081 0.963758
0.022908 0.071790 0.636855
0.002136 0.559462 0.895640
0.043294 0.291886 0.289253
0.049893 0.920225 0.869799
0.011902 0.036298 0.109363
0.021554 0.196121 0.704831
0.034922 0.754576 0.363092
0.074179 0.495859 0.274642
0.058621 0.333265 0.680019
0.008118 0.630458 0.473580
0.038017 0.798909 0.679679
0.033411 0.567322 0.538601
0.044083 0.283316 0.541685
0.029901 0.180453 0.303653
0.024662 0.403541 0.649565

MOKP INSTANCE 6
W E I G H T   V A L U E 1   V A L U E 2
0.070562 0.936570 0.884382
0.002630 0.808366 0.041373
0.017808 0.438935 0.648083
0.044930 0.038916 0.789843
0.073231 0.864409 0.710827
0.031440 0.691579 0.410429
0.056950 0.624542 0.923949
0.076986 0.999856 0.255318
0.007326 0.044022 0.743116
0.077867 0.977685 0.819315
0.059969 0.713409 0.960780
0.077859 0.231011 0.161407
0.057166 0.349129 0.824145
0.028465 0.507330 0.961581
0.059698 0.435403 0.139289
0.032310 0.450137 0.223955
0.058905 0.430234 0.509344
0.041970 0.410751 0.262716
0.031771 0.785676 0.994831
0.011836 0.889251 0.600047
0.067170 0.274229 0.186341
0.050930 0.711991 0.472714
0.014934 0.692085 0.102424
0.064642 0.810842 0.059576
0.062830 0.522560 0.932650
0.030098 0.569386 0.160706
0.063392 0.681693 0.908923
0.066483 0.769225 0.979530
0.054007 0.322342 0.344706
0.022459 0.177173 0.518781
0.016787 0.390204 0.104317
0.066813 0.860651 0.055313
0.034529 0.039062 0.818295
0.003794 0.518466 0.284696
0.071136 0.747253 0.830456
0.044338 0.725150 0.258562
0.011738 0.800710 0.255542
0.043969 0.370557 0.003875
0.058123 0.788065 0.046549
0.040989 0.668916 0.123944
0.037357 0.549850 0.972731
0.059352 0.754706 0.644960
0.038203 0.664318 0.442119
0.023808 0.855428 0.445341
0.057840 0.323617 0.767180
0.068939 0.016599 0.048883
0.064418 0.028292 0.497124
0.065140 0.506158 0.174633
0.015397 0.935791 0.114432
0.002006 0.003781 0.023535

MOKP INSTANCE 7
W E I G H T   V A L U E 1   V A L U E 2
0.039490 0.139278 0.384905
0.043109 0.308525 0.840993
0.005660 0.226355 0.748498
0.060309 0.859582 0.330338
0.023015 0.979384 0.800689
0.043781 0.719579 0.939251
0.029289 0.797873 0.482484
0.003848 0.619140 0.634766
0.000193 0.714765 0.816761
0.004452 0.892636 0.680368
0.078108 0.273480 0.781152
0.030678 0.849171 0.567904
0.052861 0.517191 0.493762
0.039514 0.092864 0.215693
0.057297 0.780516 0.358481
0.035828 0.034308 0.692506
0.025688 0.006036 0.412302
0.066201 0.511724 0.230067
0.022565 0.028923 0.735842
0.074927 0.353920 0.733660
0.058806 0.278015 0.717002
0.058084 0.363550 0.955144
0.040221 0.075733 0.362118
0.065650 0.064852 0.968863
0.058636 0.465819 0.699074
0.065952 0.749469 0.606687
0.078154 0.460251 0.744273
0.036657 0.042139 0.175800
0.056004 0.708280 0.196567
0.000194 0.661676 0.153254
0.000306 0.943484 0.137834
0.035286 0.678945 0.567347
0.018439 0.559628 0.099368
0.015806 0.323224 0.004869
0.013564 0.553690 0.670393
0.038610 0.683031 0.235003
0.050206 0.974739 0.431465
0.028626 0.324872 0.231716
0.031151 0.872286 0.898979
0.061840 0.725909 0.398013
0.023663 0.500321 0.960505
0.015565 0.167960 0.891787
0.068643 0.853635 0.045010
0.047251 0.449296 0.245840
0.038887 0.092919 0.183824
0.051176 0.876469 0.235017
0.040907 0.816010 0.938612
0.007807 0.698206 0.728567
0.014373 0.081651 0.351164
0.037458 0.573972 0.300024

MOKP INSTANCE 8
W E I G H T   V A L U E 1   V A L U E 2
0.012985 0.028413 0.470829
0.059875 0.429406 0.641807
0.003453 0.711667 0.072962
0.023925 0.348818 0.405205
0.069790 0.361788 0.249938
0.076833 0.108291 0.950506
0.056804 0.533413 0.422967
0.046356 0.514148 0.448588
0.039193 0.646736 0.981983
0.039401 0.355644 0.742058
0.050055 0.394971 0.342344
0.054986 0.289759 0.699155
0.016375 0.661960 0.653173
0.027226 0.158474 0.431912
0.025108 0.046011 0.229222
0.026716 0.192100 0.055558
0.077956 0.991181 0.437359
0.048236 0.917925 0.066642
0.066715 0.302599 0.159129
0.038494 0.333515 0.923291
0.016617 0.579364 0.002879
0.071071 0.016823 0.426787
0.050563 0.176086 0.408639
0.037669 0.556356 0.280047
0.013816 0.694039 0.509215
0.012366 0.803036 0.052669
0.050017 0.366221 0.109724
0.060385 0.414512 0.743887
0.057130 0.875470 0.149385
0.001887 0.778518 0.374120
0.029509 0.259783 0.066213
0.020301 0.851995 0.756626
0.062339 0.497996 0.124711
0.079415 0.441857 0.113865
0.020841 0.704919 0.527190
0.003531 0.386641 0.779773
0.032126 0.755953 0.592421
0.011104 0.979771 0.198858
0.021438 0.178589 0.102753
0.013895 0.177529 0.286789
0.006057 0.610736 0.597860
0.034010 0.393570 0.880393
0.032145 0.772368 0.785165
0.043977 0.911773 0.873127
0.033158 0.031023 0.239595
0.073376 0.310370 0.788616
0.028816 0.307106 0.845631
0.038581 0.840053 0.906404
0.052222 0.003909 0.970718
0.045874 0.419778 0.974588

MOKP INSTANCE 9
W E I G H T   V A L U E 1   V A L U E 2
0.040936 0.752912 0.219979
0.050507 0.331274 0.163186
0.062910 0.219336 0.510958
0.036410 0.339369 0.961802
0.007227 0.561856 0.697379
0.004533 0.103988 0.131223
0.011986 0.119900 0.173783
0.071738 0.227428 0.211488
0.010510 0.136824 0.744439
0.032457 0.310789 0.904543
0.003269 0.388173 0.032922
0.051985 0.698321 0.698036
0.000708 0.809627 0.959963
0.060791 0.606130 0.819820
0.064188 0.200171 0.780196
0.026262 0.232165 0.620038
0.025338 0.434141 0.936393
0.024107 0.590634 0.265073
0.073828 0.169987 0.247462
0.070180 0.985091 0.312881
0.056707 0.350994 0.470008
0.028496 0.166755 0.506001
0.061087 0.020190 0.146791
0.070940 0.252365 0.047041
0.008307 0.818598 0.158425
0.016980 0.004711 0.772081
0.021944 0.856706 0.326795
0.022923 0.446740 0.042688
0.064357 0.259328 0.331875
0.038168 0.248202 0.364603
0.078302 0.076629 0.298148
0.005257 0.597038 0.663189
0.028707 0.723105 0.409629
0.078622 0.898496 0.023086
0.041829 0.921486 0.323852
0.036840 0.719827 0.839841
0.053827 0.493703 0.257770
0.015864 0.166298 0.281784
0.034839 0.259327 0.185104
0.027995 0.731803 0.007917
0.064432 0.914576 0.712859
0.032447 0.901516 0.798754
0.029348 0.918522 0.573440
0.070471 0.713772 0.893541
0.061341 0.886507 0.070647
0.033350 0.512669 0.305431
0.010035 0.208731 0.517976
0.029368 0.908088 0.906105
0.058799 0.997990 0.013743
0.024440 0.704828 0.050631

MOKP INSTANCE 10
W E I G H T   V A L U E 1   V A L U E 2
0.029468 0.635412 0.802235
0.050518 0.943774 0.402028
0.051043 0.156421 0.733116
0.020282 0.640914 0.531353
0.062732 0.953577 0.790869
0.071115 0.564216 0.079793
0.042923 0.506987 0.486787
0.016621 0.375370 0.752196
0.002697 0.622989 0.863332
0.036407 0.914285 0.849980
0.042838 0.672917 0.987815
0.066049 0.759680 0.543394
0.066343 0.947787 0.772586
0.003184 0.410270 0.261942
0.003827 0.839678 0.385249
0.058705 0.144082 0.878665
0.026257 0.699200 0.474950
0.071712 0.225139 0.591540
0.078691 0.538950 0.766792
0.012627 0.926286 0.465372
0.013110 0.063984 0.748047
0.070591 0.862608 0.368333
0.071519 0.218806 0.388163
0.054718 0.488574 0.488135
0.058709 0.928400 0.429027
0.062056 0.547724 0.445359
0.048619 0.386644 0.494815
0.012206 0.500188 0.787385
0.001970 0.865159 0.490830
0.022039 0.873444 0.640920
0.022577 0.593010 0.412847
0.059530 0.601808 0.168396
0.050847 0.617404 0.615708
0.066893 0.189779 0.128053
0.038832 0.800295 0.796334
0.033534 0.707453 0.492160
0.045965 0.970582 0.897159
0.017620 0.398101 0.275897
0.008671 0.722230 0.183382
0.043111 0.912989 0.586816
0.075601 0.874851 0.911861
0.035892 0.363797 0.766658
0.005441 0.923603 0.284041
0.029461 0.650246 0.415232
0.037171 0.522422 0.515468
0.025708 0.599640 0.302430
0.000046 0.627450 0.968039
0.049418 0.163912 0.180742
0.015264 0.940605 0.146826
0.046255 0.899407 0.949111

MOKP INSTANCE 11
W E I G H T   V A L U E 1   V A L U E 2
0.002697 0.000852 0.504608
0.073767 0.009261 0.055461
0.052102 0.363044 0.904696
0.079100 0.934599 0.408531
0.066620 0.614322 0.601069
0.036537 0.713607 0.368031
0.071409 0.952618 0.714935
0.038694 0.770674 0.882988
0.003487 0.179609 0.909995
0.066731 0.274921 0.951499
0.028305 0.019647 0.743314
0.074355 0.828925 0.916630
0.003293 0.247977 0.459843
0.067966 0.185487 0.041408
0.000434 0.368559 0.280300
0.049058 0.459349 0.393135
0.006999 0.529928 0.132359
0.014378 0.497877 0.251638
0.018878 0.095240 0.708245
0.018118 0.175150 0.477208
0.065277 0.571236 0.491572
0.029726 0.488273 0.296420
0.044312 0.676163 0.514203
0.019886 0.790267 0.341674
0.028720 0.314361 0.601909
0.027263 0.387408 0.147504
0.062664 0.688924 0.243941
0.039168 0.378267 0.002385
0.042677 0.921915 0.210265
0.048824 0.951913 0.173970
0.048843 0.544290 0.827712
0.051500 0.878633 0.855936
0.044484 0.765450 0.055781
0.065282 0.213482 0.882371
0.014804 0.624516 0.970523
0.079225 0.772295 0.950653
0.002958 0.297801 0.574832
0.041163 0.242839 0.895961
0.063732 0.401153 0.651261
0.051103 0.015527 0.000183
0.037699 0.270480 0.515907
0.068041 0.639462 0.311611
0.039218 0.493001 0.989883
0.055864 0.731525 0.045449
0.006784 0.241430 0.401857
0.000001 0.643719 0.941067
0.019134 0.128366 0.829441
0.044005 0.279253 0.611041
0.060719 0.307943 0.298163
0.033210 0.781782 0.664844

MOKP INSTANCE 12
W E I G H T   V A L U E 1   V A L U E 2
0.015260 0.312211 0.705375
0.009976 0.923969 0.680808
0.057175 0.690769 0.171531
0.020515 0.233640 0.182353
0.047654 0.358886 0.236156
0.028103 0.062631 0.651686
0.003068 0.661360 0.235441
0.074382 0.250925 0.140850
0.018626 0.890152 0.452819
0.063174 0.356583 0.493980
0.015088 0.689741 0.555831
0.076834 0.584071 0.960960
0.037555 0.054422 0.298717
0.051357 0.532241 0.523397
0.059484 0.206590 0.299677
0.034117 0.523720 0.778359
0.043281 0.910442 0.335987
0.010208 0.035395 0.151787
0.038117 0.706148 0.035655
0.046878 0.620060 0.112562
0.013372 0.707495 0.339178
0.013995 0.308678 0.197178
0.032786 0.352921 0.392091
0.058883 0.742112 0.906495
0.058544 0.565270 0.661171
0.003291 0.996728 0.430703
0.018144 0.631599 0.373821
0.062775 0.479885 0.261917
0.006474 0.775508 0.080062
0.050589 0.361987 0.976233
0.010331 0.626351 0.170936
0.014053 0.234745 0.979859
0.061940 0.507089 0.542070
0.079657 0.819379 0.254393
0.033233 0.766218 0.496833
0.011753 0.978460 0.867614
0.055687 0.904957 0.878962
0.011758 0.371413 0.430949
0.003257 0.104400 0.009503
0.064627 0.486485 0.408084
0.076572 0.858204 0.149471
0.041859 0.804092 0.098097
0.039168 0.343880 0.092172
0.009552 0.019526 0.198569
0.041516 0.097816 0.427587
0.048951 0.263983 0.755583
0.078682 0.663686 0.300102
0.065661 0.719124 0.143456
0.013623 0.132493 0.105288
0.045428 0.597234 0.012065

MOKP INSTANCE 13
W E I G H T   V A L U E 1   V A L U E 2
0.056866 0.671736 0.752971
0.062265 0.456506 0.952660
0.027793 0.975073 0.612889
0.061020 0.940837 0.429640
0.025559 0.004928 0.652546
0.072079 0.630975 0.486502
0.023885 0.769444 0.047397
0.033922 0.130676 0.005404
0.006607 0.884246 0.282820
0.071678 0.820273 0.605817
0.011296 0.824333 0.787380
0.067784 0.257384 0.069401
0.072720 0.749447 0.152684
0.025200 0.916077 0.483615
0.032340 0.138636 0.301592
0.016656 0.742601 0.943504
0.070004 0.477185 0.833743
0.078399 0.796312 0.927584
0.050017 0.561951 0.980549
0.046410 0.327109 0.589022
0.002441 0.499221 0.463217
0.035227 0.419395 0.718654
0.045151 0.672947 0.082324
0.019808 0.850850 0.829583
0.052845 0.660569 0.154523
0.001098 0.721301 0.274089
0.077767 0.048764 0.137907
0.032862 0.422222 0.072357
0.054013 0.893991 0.567726
0.077715 0.159743 0.584005
0.007132 0.247174 0.779178
0.038445 0.882207 0.229717
0.008960 0.254422 0.746274
0.035909 0.094670 0.474020
0.063069 0.040031 0.660987
0.035017 0.361013 0.988852
0.031695 0.787072 0.529394
0.013927 0.005563 0.438556
0.004563 0.214496 0.607794
0.018326 0.853489 0.009018
0.040402 0.569591 0.809633
0.031686 0.642191 0.288256
0.006776 0.850746 0.830881
0.034179 0.717244 0.587241
0.030852 0.957433 0.771054
0.058188 0.773688 0.628563
0.047412 0.399800 0.627850
0.041146 0.231347 0.698408
0.052179 0.931055 0.886258
0.063415 0.293866 0.606178

MOKP INSTANCE 14
W E I G H T   V A L U E 1   V A L U E 2
0.064383 0.220410 0.752230
0.059235 0.847644 0.553749
0.055609 0.381961 0.767830
0.010339 0.759193 0.539971
0.044079 0.105612 0.007203
0.079068 0.915671 0.331433
0.060196 0.204014 0.544482
0.046827 0.763294 0.982110
0.002536 0.411229 0.188171
0.010210 0.962046 0.943601
0.006147 0.831305 0.154173
0.015954 0.286797 0.614597
0.003516 0.821840 0.106282
0.035451 0.524487 0.123723
0.053442 0.076084 0.507827
0.059395 0.774323 0.323503
0.058491 0.767325 0.710628
0.043137 0.173879 0.981981
0.009755 0.348213 0.987720
0.040483 0.243289 0.439855
0.008392 0.911766 0.815915
0.055920 0.747783 0.171887
0.070788 0.784855 0.284140
0.059693 0.980636 0.987201
0.020258 0.606763 0.432718
0.003764 0.215350 0.671654
0.040441 0.417814 0.287168
0.041646 0.829243 0.323148
0.016107 0.302396 0.083063
0.053244 0.639840 0.227532
0.062250 0.735370 0.752835
0.064465 0.785167 0.488753
0.038784 0.256496 0.973537
0.009109 0.986538 0.751948
0.048482 0.512730 0.208123
0.031709 0.546239 0.401258
0.032387 0.968381 0.117907
0.004939 0.530331 0.435857
0.052102 0.505307 0.179285
0.001316 0.418334 0.307190
0.005996 0.677036 0.128837
0.017443 0.781802 0.425998
0.058380 0.617100 0.828560
0.063163 0.982701 0.942395
0.059665 0.065946 0.280202
0.019386 0.735225 0.502839
0.025117 0.005074 0.916397
0.049487 0.004175 0.262282
0.017019 0.705060 0.326560
0.071838 0.818630 0.421922

MOKP INSTANCE 15
W E I G H T   V A L U E 1   V A L U E 2
0.071260 0.008572 0.013379
0.015824 0.514525 0.635044
0.035757 0.970153 0.417399
0.029602 0.593424 0.983307
0.002878 0.876083 0.648170
0.063744 0.124199 0.443278
0.029924 0.231464 0.768555
0.052943 0.676890 0.279626
0.001686 0.794314 0.510732
0.044929 0.911001 0.730207
0.053656 0.407637 0.387867
0.002651 0.429260 0.703611
0.033028 0.626668 0.055642
0.015303 0.123158 0.637854
0.030639 0.569420 0.208358
0.000044 0.034522 0.899978
0.078581 0.976397 0.989028
0.069130 0.491879 0.519243
0.066921 0.439303 0.143518
0.079997 0.446912 0.536981
0.022332 0.850669 0.338855
0.023209 0.359171 0.763115
0.043741 0.503570 0.737061
0.030129 0.261371 0.978353
0.047489 0.469894 0.025467
0.049246 0.779749 0.401009
0.044902 0.708307 0.013424
0.027486 0.119323 0.597045
0.021966 0.391261 0.239718
0.000230 0.225479 0.937785
0.047067 0.673048 0.036543
0.019871 0.770979 0.455992
0.026598 0.794405 0.579795
0.018272 0.846401 0.679755
0.039516 0.189674 0.071609
0.036379 0.676819 0.973972
0.065083 0.054767 0.573242
0.069964 0.928263 0.967314
0.043874 0.468366 0.686641
0.023666 0.054234 0.223585
0.077513 0.162748 0.407794
0.012680 0.703744 0.771365
0.040517 0.813420 0.738486
0.078498 0.797687 0.105697
0.030566 0.003062 0.988157
0.043856 0.934782 0.085528
0.073541 0.173631 0.698178
0.036721 0.831848 0.770915
0.015632 0.031994 0.459858
0.055583 0.160783 0.086709

MOKP INSTANCE 16
W E I G H T   V A L U E 1   V A L U E 2
0.057167 0.040068 0.411926
0.047880 0.308860 0.644660
0.025668 0.114784 0.250765
0.016898 0.815290 0.516397
0.014600 0.182926 0.534544
0.033341 0.035606 0.768180
0.069690 0.113154 0.211904
0.070279 0.271214 0.631392
0.008661 0.451336 0.961865
0.073013 0.632489 0.175314
0.048612 0.651682 0.671622
0.073439 0.081577 0.093995
0.065512 0.556266 0.888653
0.004077 0.021992 0.872697
0.065405 0.060722 0.647478
0.004927 0.742631 0.265985
0.025567 0.431052 0.949741
0.064434 0.866287 0.123059
0.063551 0.284078 0.852615
0.001056 0.907765 0.827855
0.045354 0.399378 0.604862
0.057682 0.051292 0.695535
0.071948 0.406067 0.306965
0.062713 0.228752 0.693583
0.050868 0.620219 0.880756
0.009121 0.107441 0.546849
0.067342 0.764696 0.825010
0.013139 0.477828 0.443506
0.027285 0.554750 0.405510
0.023329 0.107523 0.588210
0.056447 0.394453 0.054877
0.000239 0.383152 0.276682
0.028569 0.406154 0.227007
0.032111 0.231205 0.208626
0.023996 0.023985 0.478236
0.016126 0.469637 0.560115
0.064650 0.360148 0.067253
0.043539 0.383378 0.767706
0.016784 0.351959 0.009224
0.076324 0.186530 0.925583
0.043705 0.686985 0.695261
0.026841 0.180770 0.273730
0.014982 0.724550 0.798030
0.048600 0.756745 0.983451
0.057846 0.750950 0.476238
0.061092 0.815716 0.302529
0.050787 0.103372 0.894846
0.023377 0.285974 0.957008
0.023555 0.903828 0.249364
0.073774 0.179481 0.961223

MOKP INSTANCE 17
W E I G H T   V A L U E 1   V A L U E 2
0.043869 0.445674 0.063206
0.076747 0.950828 0.266863
0.045670 0.433445 0.960088
0.077187 0.605007 0.512370
0.021772 0.103052 0.590118
0.048707 0.540962 0.192860
0.018388 0.734206 0.523445
0.067930 0.858478 0.624427
0.078968 0.399676 0.817377
0.007325 0.248522 0.411532
0.013556 0.225478 0.118502
0.036145 0.672473 0.321262
0.064298 0.764369 0.087650
0.013548 0.156002 0.713420
0.063431 0.566761 0.842564
0.054883 0.451433 0.149909
0.060826 0.331943 0.068403
0.041579 0.009266 0.717147
0.047607 0.149087 0.170980
0.047185 0.946031 0.484710
0.066150 0.485536 0.578168
0.045889 0.510001 0.721866
0.055342 0.769639 0.629745
0.018154 0.739899 0.416436
0.029385 0.754737 0.049816
0.002732 0.861311 0.466760
0.016426 0.787131 0.271068
0.074767 0.384853 0.418935
0.073647 0.043526 0.731567
0.033751 0.314715 0.897692
0.015104 0.257114 0.017359
0.035352 0.236620 0.436629
0.029252 0.079341 0.117464
0.054387 0.633464 0.767414
0.079993 0.771730 0.117652
0.013872 0.214092 0.871500
0.016870 0.459733 0.833224
0.051373 0.357866 0.265265
0.007918 0.110613 0.949212
0.053184 0.081145 0.513732
0.076788 0.607312 0.929049
0.058548 0.683063 0.630930
0.008397 0.015780 0.418932
0.004725 0.435226 0.716691
0.058139 0.154663 0.893373
0.018492 0.872002 0.944446
0.048959 0.695051 0.567466
0.072469 0.507788 0.072956
0.036007 0.337141 0.335378
0.066047 0.970069 0.071568

MOKP INSTANCE 18
W E I G H T   V A L U E 1   V A L U E 2
0.020089 0.949659 0.320684
0.004118 0.548346 0.710424
0.040055 0.206890 0.727117
0.043428 0.526232 0.459079
0.049983 0.424911 0.023454
0.027939 0.179956 0.113729
0.046609 0.517162 0.018271
0.026391 0.229990 0.993593
0.007282 0.007119 0.235423
0.026985 0.786150 0.166952
0.076210 0.755585 0.860873
0.067652 0.648009 0.121131
0.001668 0.059995 0.613485
0.042350 0.465295 0.828164
0.052589 0.637028 0.801818
0.009145 0.289863 0.741382
0.053727 0.803745 0.258758
0.011818 0.085327 0.127699
0.057676 0.112777 0.425364
0.046513 0.210873 0.414127
0.013646 0.076653 0.903275
0.023728 0.196693 0.436185
0.013840 0.331734 0.818852
0.057696 0.787006 0.809597
0.019701 0.263115 0.096260
0.007186 0.019676 0.533159
0.068015 0.454667 0.556156
0.016612 0.297501 0.299751
0.014608 0.660374 0.262859
0.055346 0.239620 0.293298
0.006440 0.165231 0.754166
0.058131 0.058535 0.632444
0.006180 0.138499 0.730726
0.032091 0.375695 0.456994
0.076860 0.647279 0.359059
0.001591 0.588712 0.499259
0.024099 0.873103 0.458267
0.036364 0.478881 0.990520
